"","score","text"
"1",-1,"RT @StevenErtelt: Dominos Pizza Founder Sues Obama Admin Over HHS Mandate http://t.co/VSrBchcT #abortion #prolife #tcot"
"2",-1,"Monaghan! Woot! Rt @ProLifeStuff Dominos Pizza Founder Sues Obama Admin Over HHS Mandate http://t.co/ltAuZNnN  #abortion #prolife #tcot"
"3",-5,"@piersmorgan @Qaadie Yes. So these vile fallacies can be refuted. Death to the regulation of inanimate objects. #Abortion kills #MILLIONS!!!"
"4",1,"RT @ACLJ: Can’t force nurses to commit #abortion http://t.co/jLiORDfv ACLJ victory for #ReligiousLiberty &amp; #ProLife #Life"
"5",-1,"RT @StevenErtelt: Dominos Pizza Founder Sues Obama Admin Over HHS Mandate http://t.co/VSrBchcT #abortion #prolife #tcot"
"6",0,"Dominos Pizza Founder Sues Obama Admin Over HHS Mandate http://t.co/JngTn2rx #abortion #prolife #tcot""@JA_atl ..NOW they're my favorite."
"7",-1,"RT @StevenErtelt: Dominos Pizza Founder Sues Obama Admin Over HHS Mandate http://t.co/VSrBchcT #abortion #prolife #tcot"
"8",-1,"RT @StevenErtelt: Dominos Pizza Founder Sues Obama Admin Over HHS Mandate http://t.co/VSrBchcT #abortion #prolife #tcot"
"9",-1,"RT @StevenErtelt: Dominos Pizza Founder Sues Obama Admin Over HHS Mandate http://t.co/VSrBchcT #abortion #prolife #tcot"
"10",-1,"RT @StevenErtelt: Dominos Pizza Founder Sues Obama Admin Over HHS Mandate http://t.co/VSrBchcT #abortion #prolife #tcot"
"11",-1,"RT @StevenErtelt: Dominos Pizza Founder Sues Obama Admin Over HHS Mandate http://t.co/VSrBchcT #abortion #prolife #tcot"
"12",-1,"RT @StevenErtelt: Dominos Pizza Founder Sues Obama Admin Over HHS Mandate http://t.co/VSrBchcT #abortion #prolife #tcot"
"13",-1,"RT @StevenErtelt: Dominos Pizza Founder Sues Obama Admin Over HHS Mandate http://t.co/VSrBchcT #abortion #prolife #tcot"
"14",-1,"RT @StevenErtelt: Dominos Pizza Founder Sues Obama Admin Over HHS Mandate http://t.co/VSrBchcT #abortion #prolife #tcot"
"15",-1,"RT @StevenErtelt: Dominos Pizza Founder Sues Obama Admin Over HHS Mandate http://t.co/VSrBchcT #abortion #prolife #tcot"
"16",-1,"@stephenstephan  they the liberals have corrupted the massed and killed 60  million babies Via #abortion  the are not even worth Coal"
"17",-1,"Dominos Pizza Founder Sues Obama Admin Over HHS Mandate http://t.co/VSrBchcT #abortion #prolife #tcot"
"18",-1,"Dominos Pizza Founder Sues Obama Admin Over HHS Mandate http://t.co/yFhzLn4h #abortion #prolife #tcot"
"19",0,"RT @LilaGraceRose: Men and women continue to rise up against legislation that will force them to fund #abortion. We will beat this thing. http://t.co/r5zaXWy8"
"20",-1,"#2012TaughtMe better have an #abortion than end up with #Sadistic #Sociopath #Murderer. RIP #heroes of #SandyHookElementary. #ProChoice!"
"21",0,"RT @LilaGraceRose: Men and women continue to rise up against legislation that will force them to fund #abortion. We will beat this thing. http://t.co/r5zaXWy8"
"22",1,"@CindyVazquez I LOVE debating! 
#abortion
#taxes"
"23",-1,"RT @Nicronon: James Dobson: God 'Has Allowed Judgment To Fall Upon Us' For #Gay Marriage, #Abortion http://t.co/o9lOIOsv #religion #LGBT"
"24",0,"Men and women continue to rise up against legislation that will force them to fund #abortion. We will beat this thing. http://t.co/r5zaXWy8"
"25",1,"The #Gun and #Abortion debates in America aren't going anywhere soon. Both sides opt for extremes which they deem morally correct."
"26",-1,"Victoria Jackson compares Sandy Hook killer to abortionists (Video) http://t.co/8hcWIpdu via @examinercom #tcot #abortion #prolife"
"27",0,"abortion
tcot
teaparty
Read the constitution &amp; show me where it authorized the fed gov 2 bailout the #abortion industry. #tcot #teaparty"
